sample	CHUG	LE17	RCA23	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	Depth	Latitude	Salinity	Temperature	Oxygen	NO3	NO2	NO2NO3	PO4	Si	Density	Fluorescence	ChlorophyllA	Carbon.total
ERR3586747	0.144073	0.000323	0.006813	0.000825	0.000312	0.001374	0.000565	0.000166	499	76.1246	34.94578	0.099535	315.37205	13.010683					28.05824	2.250862	0	
ERR3586741	0.13834	0.000271	0.00592	0.000172	0.000113	0.002189	0.000136	0.000017	299	78.0391	34.92558	1.59404	293.889						27.94409	2.592579	0	
ERR3586738	0.123647	0.000441	0.013656	0.00024	0.000172	0.002916	0.000779	0.000031	411	70.9433	34.50669	3.03554	230.0861	13.409788					27.488995	3.097493	0	
ERR3586739	0.109402	0.001154	0.020533	0.000708	0.000739	0.003273	0.000625	0.000116	199	79.2026	34.8814	1.47689	296.228	11.691602	0.019	11.508	0.730535	4.994604	27.91825	2.51048	0.008083	
ERR3586713	0.072731	0.000311	0.006723	0.000833	0.000334	0.001126	0.000519	0.000122	499	76.1246	34.94578	0.099535	315.37205	13.010683					28.05824	2.250862	0	
ERR3586701	0.102199	0.001267	0.020697	0.000724	0.000804	0.003027	0.000645	0.000139	199	79.2026	34.8814	1.47689	296.228	11.691602	0.019	11.508	0.730535	4.994604	27.91825	2.51048	0.008083	
ERR3586749	0.093662	0.002888	0.043066	0.001536	0.000344	0.238946	0.001699	0.000149		72.5199	34.978285	3.1072	303.31905	0	0	0.821	0.098435	1.459545	27.85433	2.699	0.321278	0.11945
ERR3586750	0.07489	0.010729	0.209247	0.00392	0.003076	0.058947	0.001568	0.000672	5	78.9564	33.613775	-0.160312	385.28075	2.099614	0.0015	0.441	0.056871	0.273079	26.994413	2.28495	0.417069	0.43265
ERR3586692	0.076126	0.000162	0.002698	0.000107	0.000128	0.003251	0.000213	0.000027	391	61.5754	34.939595	4.791395	271.8744	16.017641	0.134	9.908	0.851461	4.07817	27.65512	2.284852	0	0.0023
ERR3586677	0.068266	0.000459	0.012412	0.000272	0.000176	0.002791	0.000793	0.000037	411	70.9433	34.50669	3.03554	230.0861	13.409788					27.488995	3.097493	0	
ERR3586735	0.064639	0.000164	0.002438	0.000123	0.000115	0.003191	0.000246	0.000023	391	61.5754	34.939595	4.791395	271.8744	16.017641	0.134	9.908	0.851461	4.07817	27.65512	2.284852	0	0.0023
ERR3586678	0.058297	0.001377	0.015482	0.000471	0.000322	0.029905	0.00049	0.000089	5	69.1136	32.99175	3.1965	303.326	1.791002	0.1665	1.916	0.312072	0.819597	26.265	2.6962	0.39292	0.08585
ERR3586693	0.029038	0.000804	0.009516	0.000748	0.000776	0.0014	0.000169	0.000175	35	73.3275	31.56495	-0.987833	396.848083	0	0.441	1.9045	0.866194	5.566842	25.370225	3.843304	0.544297	0.2799
ERR3586736	0.02866	0.000796	0.009559	0.000617	0.000664	0.001453	0.00019	0.000183	35	73.3275	31.56495	-0.987833	396.848083	0	0.441	1.9045	0.866194	5.566842	25.370225	3.843304	0.544297	0.2799
ERR3586684	0.025268	0.013576	0.211219	0.005892	0.005662	0.044863	0.001624	0.001395	5	73.3833	27.442	-0.585333	368.662625	0	0.126	0.2285	0.361653	1.424261	22.016175	2.417638	0.404899	0.0658
ERR3586744	0.024797	0.01369	0.202407	0.005782	0.005588	0.044757	0.001579	0.001729	5	73.3833	27.442	-0.585333	368.662625	0	0.126	0.2285	0.361653	1.424261	22.016175	2.417638	0.404899	0.0658
ERR3586714	0.028006	0.001385	0.014996	0.000462	0.000318	0.030025	0.000443	0.00009	5	69.1136	32.99175	3.1965	303.326	1.791002	0.1665	1.916	0.312072	0.819597	26.265	2.6962	0.39292	0.08585
ERR3586743	0.019884	0.004782	0.06757	0.003707	0.004586	0.319965	0.000851	0.000526	5	71.0704	29.0291	2.4534	339.4475	0	0.125	6.2695	1.614977	30.149509	23.1614	2.524221	0.58652	0.1744
ERR3586705	0.018369	0.004852	0.083991	0.008806	0.008392	0.03122	0.001529	0.000547	30	74.8283	33.646092	-1.533492	356.223917		0.075667	2.080833	0.482771	8.877352	27.072625	6.974842	0.509085	0.6226
ERR3586694	0.01752	0.00234	0.036907	0.002487	0.003839	0.015274	0.000414	0.000508	5	74.2987	30.70185	-1.32986	368.52475	3.75923	0.0775	1.328	0.526245	2.062045	24.678167	3.00669	0.79676	0.3843
ERR3586682	0.018605	0.010993	0.176147	0.002412	0.002006	0.003635	0.002297	0.000633	5	71.5955	28.41685	1.48885	340.44375		0.07525	1.06325	1.195806	19.646147	22.7306	6.44771	0.431723	0.05735
ERR3586742	0.017338	0.011156	0.169889	0.002534	0.001806	0.003836	0.002363	0.000707	5	71.5955	28.41685	1.48885	340.44375		0.07525	1.06325	1.195806	19.646147	22.7306	6.44771	0.431723	0.05735
ERR3586723	0.014729	0.004724	0.08038	0.008688	0.008255	0.030934	0.001499	0.000534	30	74.8283	33.646092	-1.533492	356.223917		0.075667	2.080833	0.482771	8.877352	27.072625	6.974842	0.509085	0.6226
ERR3586681	0.014824	0.000253	0.006202	0.000148	0.00011	0.002241	0.000169	0.000033	299	78.0391	34.92558	1.59404	293.889						27.94409	2.592579	0	
ERR3586706	0.012543	0.004107	0.059644	0.001354	0.001794	0.015534	0.000605	0.000272	5	78.2518	32.950844	-1.649738	388.303875		0.074	0.513	0.216027	0.465648	26.511331	2.853854	1.417326	1.68195
ERR3586724	0.009977	0.00408	0.058503	0.001384	0.001609	0.01559	0.000586	0.000257	5	78.2518	32.950844	-1.649738	388.303875		0.074	0.513	0.216027	0.465648	26.511331	2.853854	1.417326	1.68195
ERR3586748	0.009449	0.000895	0.006198	0.000958	0.000159	0.290834	0.000557	0.000038	5	72.5128	34.92331	7.48766	299.0073	0	0	0.0595	0	1.725127	27.289205	2.102862	0.825342	0.217
ERR3586722	0.001845	0.007021	0.064879	0.001595	0.001415	0.003437	0.001262	0.000361	5	74.8023	22.980169	2.507887	357.164917		0.014667	0.247333	0.238302	11.775524	18.339325	19.191431	0.547446	0.085767
ERR3586704	0.001903	0.007219	0.066473	0.00171	0.001475	0.003168	0.001155	0.000386	5	74.8023	22.980169	2.507887	357.164917		0.014667	0.247333	0.238302	11.775524	18.339325	19.191431	0.547446	0.085767
ERR3586745	0.00312	0.00148	0.017909	0.005488	0.004873	0.06217	0.000397	0.001019	36	74.3386	31.947283	-0.409335	343.877833	5.355932	0.025	2.133	0.6443	4.087196	25.654808	3.403455	0.879487	0.5729
ERR3586686	0.002947	0.001429	0.018386	0.005338	0.005084	0.061205	0.000421	0.001023	36	74.3386	31.947283	-0.409335	343.877833	5.355932	0.025	2.133	0.6443	4.087196	25.654808	3.403455	0.879487	0.5729
ERR3586690	0.004085	0.001688	0.037667	0.000842	0.000248	0.010556	0.001387	0.000111	351	64.7	34.59923	4.20173	273.02835	10.622333					27.448865	2.548801	0	0.0102
ERR3586733	0.003946	0.001612	0.035805	0.000831	0.000254	0.0106	0.001454	0.000112	351	64.7	34.59923	4.20173	273.02835	10.622333					27.448865	2.548801	0	0.0102
ERR3586683	0.002553	0.005046	0.070097	0.003366	0.004426	0.311185	0.000791	0.000579	5	71.0704	29.0291	2.4534	339.4475	0	0.125	6.2695	1.614977	30.149509	23.1614	2.524221	0.58652	0.1744
