sample	CHUG	LE17	RCA23	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	depth	latitude	salinity	temperature	oxygen	nitrate	nitrite	nitrate/nitrite	phosphate	silicate	Density	fCDOM	Chlorophyll a	TC
ERR315856	0.001535797	0.002080062	0.009274058	0.001102002	0.000687741	0.017239994	4.90E-01	6.84E-03	42	37.0541	37.1036	17.521075			0	0.028	0.0065	0.4985	27.003675		0.338691	0.0256
ERR315857	0.002383856	0.000618236	0.003873841	0.000529148	0.000569806	0.001943796	2.16E-01	2.01E-03	9	37.051	37.522	23.8141			0.0445	0.14325	0.0475	0.7935	25.61115		0.189348	0.00695
ERR315858	0.017892694	0.000847638	0.004601242	0.000495353	0.000755336	0.00134299	3.90E-01	4.74E-03	5	42.2038	38.22805	17.211742	221.782083		0.009125	0.040875	0.012	1.372375	27.9429	1.465	0.103935	
ERR315859	0.004625369	0.000773182	0.003416033	0.000439204	0.000533755	0.000992785	3.72E-01	1.24E-03	55	42.1735	38.47375	15.180558	224.264417		0.013	0.05	0.012	1.0505	28.613475	1.786458	0.136877	
ERR315860	0.00490448	0.000752154	0.003364575	0.000515365	0.000540127	0.001001325	3.74E-01	1.25E-03	55	42.1735	38.47375	15.180558	224.264417		0.013	0.05	0.012	1.0505	28.613475	1.786458	0.136877	
ERR315861	0.018447989	0.000845501	0.004647935	0.000523994	0.000792947	0.001517882	3.91E-01	4.91E-03	5	42.2038	38.22805	17.211742	221.782083		0.009125	0.040875	0.012	1.372375	27.9429	1.465	0.103935	
ERR315862	0.00029593	0.000157781	0.00084489	0.000242851	0.000226128	0.000807808	7.60E-02	3.38E-04	5	33.9179	39.42311	20.4425	207.61355	0.188705	0.00125	0.0455	0.00025	0.816	28.0195	1.1765	0.067706	0.005
ERR315863	0.001666392	0.000367425	0.003498008	0.000467345	0.000705738	0.001324931	1.43E-01	5.50E-04	5	33.9179	39.42311	20.4425	207.61355	0.188705	0.00125	0.0455	0.00025	0.816	28.0195	1.1765	0.067706	0.005
ERR318618	0.001017796	0.000227289	0.002239294	0.000416696	0.000581087	0.001121434	6.80E-02	2.65E-04	70	33.9235	39.23456	18.61621	218.75115	0.078824	0.005		0	0.6655	28.36135	1.34975	0.091071	0.00395
ERR318619	0.001681782	0.000764446	0.006166533	0.000560594	0.000917336	0.002514179	0.156609555	5.27E-04	70	33.9235	39.23456	18.61621	218.75115	0.078824	0.005		0	0.6655	28.36135	1.34975	0.091071	0.00395
ERR318620	0.000887587	0.000208217	0.001964204	0.000325472	0.000503132	0.001058851	6.14E-02	2.73E-04	70	33.9235	39.23456	18.61621	218.75115	0.078824	0.005		0	0.6655	28.36135	1.34975	0.091071	0.00395
ERR318621	0.001307059	0.000580915	0.006182596	0.001037348	0.001265565	0.001929468	0.159938357	0.000788385	70	33.9235	39.23456	18.61621	218.75115	0.078824	0.005		0	0.6655	28.36135	1.34975	0.091071	0.00395
ERR588857	0.00097147	8.74E-05	2.20E-03	0.000337792	0.000553958	0.000839624	8.17E-04	0.004687177	5	9.1504	35.384031	26.572419	190.378187	4.965553	0.1665	6.2015	0.63025	2.53325	23.143631	1.628674	0.261381	0.01184
ERR594288	0.001079194	0.000434232	0.002758649	0.00039033	0.000427447	0.001018529	2.34E-01	8.76E-04	9	39.1633	37.8042	24.4828							25.621		0.136232	3.00E-04
ERR594315	0.000798576	0.000148776	0.002647334	0.000483521	0.000339121	0.001168328	2.21E-02	5.54E-04	55	39.0609	37.68195	15.9708							27.81605		0.442902	0.0067
ERR594316	0.001100198	0.000408181	0.00273833	0.000410885	0.000346008	0.001027211	2.20E-01	8.41E-04	9	39.1633	37.8042	24.4828							25.621		0.136232	3.00E-04
ERR594317	0.001313765	0.000434268	0.002614881	0.000390419	0.000395479	0.001090307	2.21E-01	8.63E-04	9	39.1633	37.8042	24.4828							25.621		0.136232	3.00E-04
ERR594329	0.000652391	0.000182093	0.002441228	0.000395299	0.00030982	0.001098782	2.11E-02	5.43E-04	55	39.0609	37.68195	15.9708							27.81605		0.442902	0.0067
ERR598942	0.00047101	0.000779491	0.003058153	0.000596483	0.000298079	0.007415892	9.11E-02	6.01E-04	45	35.4002	33.208145	13.874505	236.1591	1.185394	0.06	0.92875	0.43225	2.65725	24.82737	2.683702	0.389715	0.03465
ERR598943	0.000633848	9.29E-05	2.54E-03	0.000517397	0.000309554	0.000871173	1.33E-03	1.44E-03	5	5.2529	34.764535	24.958885	204.421	13.010708	0.3285	12.8225	1.02575	5.04425	23.176695	2.076027	0.264409	0.00655
ERR598944	0.001869017	4.13E-05	1.25E-03	0.000718187	0.000226971	0.000563101	8.35E-05	6.02E-05	800	43.7182	35.570583	10.167675	174.851333	17.58633					27.385592	2.708962	0	
ERR598945	0.000817276	0.002073091	0.030845533	0.002317277	0.001985051	0.010978412	3.15E-03	6.50E-04	5	60.2287	33.7198	1.9034	338.526	24.903191	0.266	25.3	1.723	16.55	26.9578	2.105012	0.207979	
ERR598946	0.000451784	5.37E-05	1.35E-03	0.000261584	0.000261105	0.000468552	5.56E-05	9.92E-05	177	12.9794	34.82775	12.806365	3.4942	20.254424	0.131	23.251	2.68675	20.9015	26.3033	3.186315	0.019279	0
ERR598947	0.00394156	4.51E-05	1.28E-03	0.000262479	0.000207872	0.001013877	6.21E-04	4.19E-05	700	31.0198	34.50494	7.32145	194.4342	24.232124	0.003	22.08	1.529	12.08	26.992205	2.777603	0	0.0021
ERR598948	0.00046927	6.68E-05	1.75E-03	0.000297792	0.000329737	0.000755679	3.28E-04	2.37E-04	115	9.0063	36.101175	24.661385	178.3692	3.213808	0.092792	2.67775	0.582933	1.907042	24.2843	1.880646	0.199886	0.0028
ERR598949	0.000369621	4.51E-05	1.51E-03	0.000299303	0.000394863	0.000710393	4.26E-04	7.28E-04	25	19.0284	36.549506	25.607735	189.0233	0.672791	0.7	1.858	0.417	1.625	24.3126	1.61475	0.185922	0.0262
ERR598950	0.000842499	0.000284886	0.00281933	0.000470757	0.00046902	0.001462647	8.04E-02	9.57E-04	40	36.5533	36.5811	16.3584							26.8866		0.535777	
ERR598951	0.001250453	0.001103019	0.0035475	0.000615215	0.000651619	0.001343281	6.89E-01	2.59E-03	5	39.3888	38.185333	18.319192	217.809833		0.00425	0.03525	0.00525	1.0505	27.633617	1.465	0.104797	
ERR598952	0.000670864	0.000102603	0.002399325	0.000323593	0.000357794	0.000983934	1.24E-03	1.32E-03	30	2.0299	34.475915	26.019185	199.8303	4.369042	0.111	4.638	0.50475	3.225	22.63355	2.048813	0.329704	0.013
ERR598953	0.000426095	7.02E-05	1.37E-03	0.000270928	0.000254918	0.000467966	4.43E-05	1.08E-04	177	12.9794	34.82775	12.806365	3.4942	20.254424	0.131	23.251	2.68675	20.9015	26.3033	3.186315	0.019279	0
ERR598954	0.000356738	9.58E-05	2.02E-03	0.00024168	0.000459638	0.000720593	4.54E-03	2.81E-04	5	23.2811	36.43917	24.26287	201.6702	0.167491	0.0075	0.02525	0.14225	0.7425	24.65312	1.496493	0.055382	0
ERR598955	0.000840714	0.000558438	0.002900888	0.000403543	0.000418149	0.001242558	2.67E-01	7.61E-04	9	36.5533	36.599199	20.238088							25.909909		0.180403	
ERR598956	0.000630097	6.79E-05	1.53E-03	0.000214327	0.000302165	0.000653521	1.10E-04	4.60E-04	150	8.9109	35.877315	21.97372	158.18405	5.004597	1.46875	5.44175	0.6607	1.18375	24.895825	1.955839	0	0.000925
ERR598957	0.001069738	5.70E-05	1.59E-03	0.000178339	0.000367898	0.000636587	2.92E-04	1.46E-04	155	23.2189	35.90434	21.94937	206.4346	0.423501	0.014	0.04175	0.1145	0.6935	24.927695	1.745449	0.145434	0.0011
ERR598958	0.001352928	5.30E-05	1.05E-03	0.000189085	0.000230789	0.000442494	6.33E-05	5.48E-05	250	34.1504	36.565812	18.129194	192.246187	3.578039	0.0305	4.1285	0.179	1.6225	26.450856	2.077387	0	
ERR598959	0.000666215	0.000179138	0.002004567	0.000344951	0.000395288	0.000981557	5.71E-04	1.20E-03	5	18.3967	38.64	27.635025	183.84625	0	0.011	0.029	0.144	2.6405	25.2559	1.35125	0.137257	0.0332
ERR598960	0.003636613	4.67E-05	1.06E-03	0.000172136	0.000172136	0.000475108	5.42E-05	5.64E-05	850	35.1889	34.630583	8.33035	199.726						26.947583	1.5575	0	
ERR598961	0.000574443	6.54E-05	2.11E-03	0.000229405	0.000457881	0.000813769	6.12E-04	4.75E-04	90	16.9587	35.69581	19.783275	208.54895	0.85366	0.203	1.2215	0.443	0.9285	25.354365	2.047239	0.207911	0.0035
ERR598962	0.000528409	0.000211819	0.002254847	0.000854109	0.000273315	0.001163866	2.41E-03	9.70E-04	40	5.2669	34.884385	19.781235	104.9968	18.72477	1.202	24.3645	1.8615	10.5045	24.729155	2.896974	0.365239	0.018
ERR598963	0.000408165	8.27E-05	1.76E-03	0.000238349	0.000474336	0.000837937	3.66E-04	4.63E-04	5	34.1132	36.41274	18.82554	220.9492	0.808032					26.146925	1.734471	0.156401	
ERR598964	0.002118081	4.86E-05	1.11E-03	0.00019625	0.00020067	0.00047427	6.67E-05	5.30E-05	740	34.0771	35.369805	10.496305	152.7195	20.172519	0.00725	20.924	1.34475		27.170345	2.634028	0.00482	
ERR598965	0.000898214	0.004036229	0.016067777	0.002074752	0.000742199	0.105405476	1.74E-01	1.27E-03	35	33.9116	34.22887	15.376875	227.7609	2.295011	0.359	6.80275	1.08725	0.46	25.294705	3.63327	0.484784	0.7106
ERR598966	0.000989193	0.00022493	0.002125026	0.000325589	0.000345472	0.000864923	3.57E-03	4.25E-02	5	20.8183	36.525962	25.681369	209.807083	1.545287	0.0455	0.1415	0.3575	1.143	24.284594	1.374375	0.205491	0.0169
ERR598967	0.000479039	0.000238738	0.002641123	0.000342171	0.000556223	0.001196505	2.21E-02	2.65E-04	5	29.7238	35.76868	23.84533	204.54175	0.149932	0		0.1575	0.5305	24.269535	1.521211	0.070669	
ERR598968	0.000562249	6.47E-05	1.82E-03	0.000227513	0.000481832	0.000782725	2.12E-04	2.71E-04	5	34.6712	36.513137	19.312775	213.9635	1.279722	0.2225	0.7375		0.944	26.097587	1.78383	0.126112	
ERR598969	0.000548862	6.74E-05	2.34E-03	0.000283097	0.000421757	0.000889734	7.36E-04	6.88E-04	5	27.16	39.96035	25.0281	189.91675	0	0.00925	0.036	0.01225	0.8825	27.086225	1.054375	0.112855	0.00475
ERR598970	0.000758025	7.23E-05	1.69E-03	0.000229903	0.000338943	0.000648985	3.18E-04	7.29E-04	5	29.5019	35.32467	22.2414	210.2395	0	0.004	0	0.084	1.7665	24.39702	1.057375	0.136664	0.0103
ERR598971	0.001905213	4.94E-05	1.55E-03	0.000359611	0.000253181	0.00059463	8.17E-05	1.01E-04	380	2.0649	34.791419	11.142362	2.264562	33.049074					26.595869	3.300821	0	
ERR598972	0.000484425	0.000115339	0.003040629	0.000301324	0.000692035	0.000638691	4.11E-04	1.08E-03	65	29.5333	35.346195	22.215305	207.9566	0	0.00875		0.08325	1.7355	24.424005	1.06475	0.121203	0.02
ERR598973	0.000313331	0.000100656	0.001758227	0.000295473	0.000284109	0.001858883	2.46E-03	6.67E-04	5	34.9449	35.3233	15.013362	239.93725	2.426286	0.3025	3.34	0.343	2.7435	26.2141	1.258125	0.221666	0.0302
